Date,Close
15/2/15,233.84
16/2/15,243.61
17/2/15,236.33
18/2/15,240.28
19/2/15,243.78
20/2/15,244.53
21/2/15,235.98
22/2/15,238.89
23/2/15,238.74
24/2/15,237.47
25/2/15,236.43
26/2/15,253.83
27/2/15,254.26
28/2/15,260.2
1/3/15,275.67
2/3/15,281.7
3/3/15,273.09
4/3/15,276.18
5/3/15,272.72
6/3/15,276.26
7/3/15,274.35
8/3/15,289.61
9/3/15,291.76
10/3/15,296.38
11/3/15,294.35
12/3/15,285.34
13/3/15,281.88
14/3/15,286.39
15/3/15,290.59
16/3/15,285.5
17/3/15,256.3
18/3/15,260.93
19/3/15,261.75
20/3/15,260.02
21/3/15,267.96
22/3/15,266.74
23/3/15,245.59
24/3/15,246.2
25/3/15,248.53
26/3/15,247.03
27/3/15,252.8
28/3/15,242.71
29/3/15,247.53
30/3/15,244.22
31/3/15,247.27
1/4/15,253
2/4/15,254.32
3/4/15,253.7
4/4/15,260.6
5/4/15,255.49
6/4/15,253.18
7/4/15,245.02
8/4/15,243.68
9/4/15,236.07
10/4/15,236.55
11/4/15,236.15
12/4/15,224.59
13/4/15,219.16
14/4/15,223.83
15/4/15,228.57
16/4/15,222.88
17/4/15,223.36
18/4/15,222.6
19/4/15,224.63
20/4/15,235.27
21/4/15,234.18
22/4/15,236.46
23/4/15,231.27
24/4/15,226.39
25/4/15,219.43
26/4/15,229.29
27/4/15,225.85
28/4/15,225.81
29/4/15,236.15
30/4/15,232.08
1/5/15,234.93
2/5/15,240.36
3/5/15,239.02
4/5/15,236.12
5/5/15,229.78
6/5/15,237.33
7/5/15,243.86
8/5/15,241.83
9/5/15,240.3
10/5/15,242.16
11/5/15,241.11
12/5/15,236.38
13/5/15,236.93
14/5/15,237.6
15/5/15,236.15
16/5/15,236.8
17/5/15,233.13
18/5/15,231.95
19/5/15,234.02
20/5/15,235.34
21/5/15,240.35
22/5/15,238.87
23/5/15,240.95
24/5/15,237.11
25/5/15,237.12
26/5/15,237.28
27/5/15,237.41
28/5/15,237.1
29/5/15,233.34
30/5/15,230.19
31/5/15,222.93
1/6/15,225.8
2/6/15,225.87
3/6/15,224.32
